committee,seqId,daon,decentruth,seenfeed,deepthought
2.315542723s,27,2.821162438s,8.583290109s,6.667707605s,525.3778260723615s
2.367213346s,28,2.322324159s,8.57995455s,5.893537068s,581.5130503370522s
2.791025951s,29,2.758469862s,8.336250466s,6.752818664s,668.5974808708354s
2.267198516s,30,2.52114512s,8.836507278s,6.608756901s,511.6459392744742s
2.753501878s,31,2.837962987s,8.330982862s,6.136408541s,560.1005104955422s
2.381242765s,32,2.197243373s,9.508017514s,6.170459496s,553.1230150189139s
2.630215999s,33,2.543634604s,8.841948171s,7.111689303s,585.1149879412918s
3.060998785s,34,2.732221145s,9.671697743s,6.884550324s,629.578988476981s
2.640989144s,35,2.743419453s,9.740918673s,6.770137739s,672.1831305161111s
2.52037003s,36,2.539257293s,10.236970062s,6.12754465s,505.0361079084959s
2.910118369s,37,2.347788515s,9.020703407s,6.745837575s,629.4569189916991s
2.742530662s,38,2.551502133s,8.470027436s,7.06770591s,622.0435187981064s
2.800836413s,39,2.688306724s,9.332802212s,6.393191686s,560.2196000672062s
2.515950039s,40,2.571346131s,9.477211158s,5.943220166s,679.7716272611549s
2.495722295s,41,2.993833404s,9.290221301s,6.49648479s,620.1068264982085s
2.79649347s,42,2.540526766s,9.206726118s,5.830796017s,577.5177588016152s
2.917817095s,43,2.656862699s,8.624129498s,5.640386892s,657.9251866604636s
3.135274367s,44,2.937702459s,9.391322502s,6.173983127s,553.5976263901259s
2.506551943s,45,2.885153203s,9.80546271s,6.306408419s,598.1970670524215s
2.610355047s,46,2.694526854s,9.456461373s,6.672083598s,516.4064714240009s
3.173225524s,47,2.705513862s,9.488648854s,6.727098758s,669.9134743520059s
2.822731875s,48,2.832773725s,8.998916581s,6.825872006s,620.2597452217608s
2.7006658s,49,2.588273237s,8.858184154s,7.016303501s,676.1753424433355s
2.771978789s,50,2.575229766s,9.722645153s,6.368186736s,569.1621460898867s
3.035916151s,51,2.360712927s,8.679083971s,6.601108218s,549.1091724984493s
2.726159205s,52,2.74085316s,10.258464715s,6.516313504s,622.6153067344732s
2.658060422s,53,2.93089067s,8.952104814s,6.05947273s,553.932713526963s
2.655309371s,54,2.533554155s,9.108617317s,6.676343487s,648.4963724995777s
2.971261116s,55,2.631342867s,10.123848502s,7.073282038s,542.0040801888467s
3.003055924s,56,2.247737767s,8.626303298s,6.09935251s,658.3611079423353s
2.843075564s,57,3.053811097s,9.366253686s,6.169254358s,514.6893935432764s
2.729690322s,58,2.425764828s,9.30442537s,6.757955352s,615.1286563078081s
2.40809047s,59,3.073012382s,9.92524232s,6.90960564s,524.9179568439647s
2.349123734s,60,2.9363726s,9.114135719s,6.074948711s,543.0615570333534s
2.722609627s,61,2.390628787s,9.397211732s,6.522066304s,571.3934374041448s
2.922794743s,62,2.876237725s,9.188952688s,5.974965674s,622.105890727472s
2.507825075s,63,2.573006969s,10.453270336s,6.874855468s,651.8341380868626s
2.403399356s,64,2.437776383s,8.890600302s,6.591066066s,605.2525081422111s
2.819954407s,65,2.705737916s,9.965748232s,5.644389918s,649.957274793513s
2.879821211s,66,2.308273562s,8.953942836s,6.664094393s,634.402675582138s
2.538975819s,67,2.356531444s,8.941655419s,6.042163336s,531.1772720751705s
2.478009825s,68,2.634921247s,9.237482827s,6.759266343s,655.2687153505882s
2.89507528s,69,3.22382713s,8.283338011s,6.908777757s,653.8274202695562s
2.362281341s,70,2.559826707s,8.909551714s,6.540818971s,568.3590900336839s
3.240355244s,71,3.354252275s,9.303844402s,5.96574323s,670.1380016716079s
2.686033454s,72,2.550853362s,8.654420368s,5.994845934s,626.6750619443219s
2.969138546s,73,2.722877716s,9.743341959s,6.816413958s,521.260785776602s
3.027421464s,74,2.788098706s,9.527656393s,6.424034322s,566.3304206399885s
2.507831359s,75,2.506969683s,9.27108924s,6.198010044s,522.7874673654126s
3.006420651s,76,2.301903067s,9.758643701s,5.805656609s,661.8037142148038s
2.463103556s,77,2.577463778s,8.705496113s,5.875014216s,656.1385089093337s
2.763088142s,78,2.608262865s,9.728057253s,6.136305236s,653.6273559148217s
2.474985266s,79,2.457745034s,8.269600072s,6.137357785s,655.4719086949237s
2.381756498s,80,3.209366636s,9.062594498s,6.876132208s,550.4403249486614s
2.310259469s,81,2.401511842s,9.091948295s,6.478368826s,515.4527862285046s
2.610424165s,82,2.208840607s,9.578215608s,6.465015045s,532.9299009624705s
2.846202666s,83,2.823358414s,9.665206745s,5.459940993s,543.9571983884821s
3.068878444s,84,2.915968161s,8.956168504s,6.525502325s,572.6941399108049s
2.756030375s,85,2.644890927s,9.518911481s,5.523265163s,594.0395615337712s
2.69458957s,86,2.654888568s,8.138434387s,6.14870554s,674.9646913979186s
2.95308152s,87,2.610788869s,9.889800421s,6.703500229s,571.1593653805612s
2.661678367s,88,2.802248157s,8.881061928s,6.421901896s,593.2657717424476s
2.382072436s,89,3.058410869s,10.270336688s,6.247044018s,523.5887469851928s
3.127029493s,90,2.691331749s,9.310902859s,6.610276489s,510.7775141726672s
3.060212827s,91,2.389088994s,8.636925335s,6.24902665s,544.1029653300338s
2.759671285s,92,2.620754354s,9.415078552s,6.897278022s,546.388998946966s
2.608145997s,93,2.721656124s,9.065820196s,6.279036232s,501.7520135132543s
2.880892156s,94,2.405437767s,8.149541001s,5.790284073s,663.0011993528219s
3.102116475s,95,2.43726491s,8.711519797s,5.844485051s,593.109566937982s
2.478419777s,96,3.147323635s,8.130530057s,5.998252012s,663.0030533827429s
2.745101371s,97,2.657865235s,8.570602813s,6.331068489s,581.0899646169154s
2.728747105s,98,2.651276055s,9.264004494s,6.497145308s,648.5359701252562s
2.995895759s,99,2.566964588s,7.986903597s,5.894620459s,538.2279805604338s
2.478429174s,100,2.997924375s,8.386465319s,6.159572423s,546.3912761554861s
2.854342971s,101,2.564631184s,8.049786447s,5.632900052s,597.305487849566s
2.966063432s,102,2.365774898s,9.317737815s,6.42290593s,608.0873491919949s
3.04098047s,103,2.844983216s,9.589472493s,5.939052404s,583.9543952276075s
2.748681298s,104,2.702015252s,8.200663468s,5.97650473s,670.7314678128353s
2.442346118s,105,3.037921789s,8.847746839s,5.739613047s,510.2172012144538s
2.417688944s,106,2.657511103s,9.169050793s,6.670856134s,638.5522636997816s
2.84617681s,107,2.269715869s,9.892935768s,6.467471595s,511.36278682246933s
2.295880152s,108,2.494075314s,7.638140533s,6.467464997s,589.3463335462998s
2.586329203s,109,2.317719022s,8.357909404s,6.595974204s,528.9621981527401s
3.009297488s,110,2.764820702s,9.449997906s,6.855316519s,528.282556736551s
2.650092715s,111,3.222163443s,8.567710831s,5.94628099s,532.9831200799899s
3.003293216s,112,2.513108853s,9.198084891s,5.72732499s,540.8373280710623s
3.03968059s,113,2.482071358s,8.519039049s,6.58610671s,634.6653976132975s
2.850370332s,114,2.661399882s,9.075794235s,5.930710557s,657.9167777247017s
2.391852465s,115,2.445430252s,7.768010652s,6.447530271s,677.8652263170942s
2.575054758s,116,2.179833413s,9.772403945s,5.966096472s,532.9825438137683s
2.641172743s,117,2.135933462s,9.007920636s,6.710608643s,557.9682045228192s
2.316831993s,118,2.90425889s,8.432618749s,6.255686545s,619.603216504665s
2.704900703s,119,2.240761123s,8.352967141s,5.780109712s,546.3692501296961s
2.908739485s,120,2.328285527s,10.066831866s,6.38987336s,585.9733074687947s
2.745642221s,121,2.916520591s,8.429209539s,6.461390384s,600.9451854501648s
2.616937637s,122,2.213727764s,9.585712575s,6.071351469s,615.6539631928746s
2.562166546s,123,2.608419674s,9.479380799s,6.033572199s,676.276175900254s
2.800671396s,124,3.057954146s,8.776063595s,6.172997526s,569.916605905616s
2.329209266s,125,2.463408795s,9.069524848s,6.486558479s,572.7133872108318s
2.680387473s,126,2.838093658s,7.973425679s,6.053311921s,502.7485034522991s
2.745007815s,127,2.849185262s,8.731996131s,6.319143843s,596.3795945589542s
2.423862448s,128,2.86562864s,9.060644266s,6.145353319s,597.1438565313265s
2.565749004s,129,2.356766498s,9.612210743s,6.513858276s,595.4538705736599s
2.970452236s,130,2.773740479s,8.528495121s,6.659141226s,571.5360622230827s
2.712660704s,131,3.017447792s,10.064008664s,6.100965706s,632.8643246325099s
2.953449649s,132,2.823558643s,9.799968446s,6.302680501s,600.717585081594s
2.694582493s,133,2.59460324s,8.759139617s,6.910408604s,666.7633990968143s
2.985782325s,134,3.117454985s,10.078561331s,6.02252691s,614.5378589622328s
2.701562859s,135,2.482373101s,8.664160798s,5.69466876s,654.8824517722384s
2.562558215s,136,2.623958949s,9.575761209s,6.849722393s,517.3465340856416s
2.544477568s,137,2.545683909s,10.280346407s,5.539895012s,632.1027679543579s
2.553734476s,138,2.565231254s,9.725896069s,6.275435282s,626.4591162034766s
2.764435819s,139,2.671120012s,8.80511423s,5.885621459s,605.4445400906762s
2.901309925s,140,2.428183597s,9.379513863s,6.152501944s,612.1833169563831s
2.978862682s,141,2.644642004s,8.980544635s,5.930615639s,592.8251882817785s
2.668112117s,142,2.281161413s,8.716602366s,7.010933843s,677.7245576226478s
2.603908118s,143,2.565186624s,9.354816882s,6.019693105s,594.9836208634068s
2.646766942s,144,2.740921868s,10.008804936s,5.86011869s,604.1855503291506s
3.086698305s,145,2.424075591s,9.274881979s,6.10372294s,517.1806328782409s
2.870923461s,146,2.61166775s,9.680500892s,6.82429825s,656.3479153399651s
2.383094216s,147,2.62384253s,8.800119449s,5.950439068s,633.2089841759363s
2.416057774s,148,2.515557291s,8.887077464s,6.625318769s,528.8244726101952s
3.206912014s,149,2.925080944s,9.936469435s,6.351891292s,621.1942647875301s
2.628071155s,150,2.837048858s,8.732079325s,6.29498664s,622.9189953850141s
2.372099455s,151,2.923165881s,10.270533303s,6.178370336s,607.471422771305s
2.264929851s,152,2.804216528s,9.641055384s,5.746180502s,502.69466231362054s
2.545600667s,153,2.388330317s,9.217520404s,6.514386496s,524.7690023605145s
2.54052246s,154,2.446851082s,9.726594542s,6.275823247s,648.7370455899431s
3.183456563s,155,2.771102419s,9.029357292s,6.610776629s,532.6010034095449s
2.360219115s,156,2.569008769s,9.871287134s,6.944431712s,577.6997966879492s
2.755676722s,157,2.55591987s,8.846016486s,5.835735456s,576.865853199439s
2.849910316s,158,2.292752972s,9.510392913s,6.407640423s,599.8440785194009s
2.86144527s,159,2.845473143s,9.658114072s,6.27812489s,552.1211589028644s
2.657788873s,160,2.439096721s,9.368929463s,6.159764103s,554.70378077219s
2.878714132s,161,2.75103651s,9.19703043s,6.699737746s,603.8979678011548s
2.40559436s,162,2.358826019s,10.023679074s,6.889833214s,575.6079472139655s
2.491024442s,163,2.382027284s,9.009544065s,6.046952777s,563.4755991791218s
2.581174173s,164,2.819409451s,9.25037032s,7.165646358s,558.3757173950587s
2.604020035s,165,2.991690434s,8.700100659s,5.607454204s,588.6252281288224s
2.607429832s,166,3.028379969s,9.436919825s,6.140963679s,569.0281563286916s
2.71123809s,167,2.699198459s,9.191234984s,6.877767873s,659.9883693142112s
2.472110672s,168,2.746662687s,9.572023349s,5.537996255s,565.037735968036s
2.497839016s,169,2.425163158s,9.737104587s,6.337758919s,549.6338831753328s
3.004788014s,170,2.928653313s,10.734044864s,6.727894952s,648.6846040450017s
2.378988711s,171,2.509307275s,9.600656935s,6.417360346s,530.1982270361517s
2.526166023s,172,2.468631538s,8.613023121s,6.587204858s,635.9435959062569s
2.445435523s,173,2.681786935s,8.210722371s,5.890027926s,667.3404411440629s
2.210443969s,174,2.710590888s,9.121698426s,5.955653894s,565.2003467493415s
2.341436994s,175,3.148921886s,8.959020285s,6.649989077s,579.0227442031007s
2.611977265s,176,3.232300825s,8.365364741s,6.891990339s,570.3015121974646s
2.883056728s,177,2.892345689s,8.460969685s,6.504166168s,611.594589617818s
2.572817811s,178,2.637321339s,8.77262253s,6.002090477s,531.721371890419s
3.244529308s,179,2.844078624s,9.581576262s,6.596123413s,578.288107940523s
2.81211779s,180,2.712827434s,9.135109502s,6.169544414s,613.1987918801798s
2.681721299s,181,3.011428745s,9.524914898s,6.345990044s,506.22876542851526s
2.506514927s,182,2.749841122s,8.285755973s,6.899532626s,588.5157184097036s
2.792752081s,183,2.576270065s,8.939822684s,6.341646773s,585.6171968586362s
2.960334591s,184,2.713718995s,9.897181846s,6.730978427s,599.3152208733918s
2.92506308s,185,2.714873218s,9.995049958s,7.278662402s,654.1021298685387s
2.915025459s,186,2.391191543s,8.604871039s,6.764683058s,563.9886311951153s
2.185840828s,187,2.474632985s,9.689594799s,6.639561115s,671.1961312588478s
2.364800375s,188,2.559752963s,9.306824103s,6.7989276s,619.5161321535752s
2.799111839s,189,2.381299556s,9.492287135s,5.68222334s,631.9181407564286s
2.174187155s,190,2.723585771s,8.358781516s,5.355405421s,525.1048145137165s
2.365564356s,191,2.381923596s,9.398053048s,4.989665461s,659.4934066216406s
2.652833336s,192,2.572291234s,8.791718978s,5.473889384s,652.460373173452s
2.862336068s,193,2.426413013s,9.004853577s,5.482847211s,659.9142926857561s
2.604135152s,194,2.364210557s,8.488429604s,6.293593773s,500.9207191947041s
2.474303985s,195,2.494912955s,7.958071016s,6.885604675s,645.5095275273375s
2.79873787s,196,2.520322844s,9.141252927s,6.769915549s,614.0333167794586s
2.487777484s,197,2.599619468s,8.72658768s,6.679428637s,567.983096027741s
2.482161297s,198,2.59500308s,8.541646805s,6.470461379s,551.8078772530182s
2.174681735s,199,2.647945492s,8.746642156s,6.066643467s,576.1543235202175s
2.788864465s,200,2.287645242s,8.855470879s,6.512578403s,567.1669347839265s
3.227243824s,201,2.121353959s,9.822130056s,6.606695738s,600.1073889463373s
3.068838512s,202,2.772877926s,8.568333594s,5.683245499s,539.4583556442985s
2.706032338s,203,2.878989386s,9.111733211s,6.770396173s,619.9812739821775s
2.664627438s,204,2.760772473s,9.596070267s,6.458234576s,611.9291601302216s
2.477625189s,205,2.482206089s,9.226014847s,6.127146589s,600.6652671760805s
2.759181287s,206,2.766238287s,9.188381114s,5.914404086s,628.2530626749096s
2.481727629s,207,2.919884551s,9.897401341s,6.109719779s,609.4841634582222s
3.018789339s,208,2.461200777s,8.570704197s,6.286257416s,628.3807067667083s
2.692372798s,209,3.189189351s,8.670219003s,6.015428409s,531.3175360702601s
2.608946232s,210,2.164275973s,9.376306129s,6.410447107s,510.3313699887635s
3.242408639s,211,2.352742108s,9.896508163s,6.623274068s,569.5184893171512s
2.568256927s,212,2.868186592s,9.972654969s,6.07025838s,600.1909025226344s
2.982746114s,213,3.133274114s,8.698793028s,5.92737426s,634.6909624301823s
2.587020552s,214,2.649705112s,8.971174616s,6.774821274s,620.946877574665s
2.887543792s,215,3.039864123s,8.380271539s,6.246960291s,648.4258206558625s
3.316676678s,216,2.879253369s,9.893234364s,6.383028406s,672.8759175718226s
3.079134664s,217,2.960488948s,9.585849818s,6.153451732s,568.3338427472681s
2.662565184s,218,2.757398639s,8.926961929s,7.185972186s,520.5156755868938s
2.203246466s,219,2.41243538s,8.357037534s,6.902316052s,648.1897237524167s
3.050066724s,220,2.692499178s,8.79221506s,5.975218865s,581.5462178594452s
2.703400298s,221,2.830939559s,8.338927117s,5.458514536s,538.0197754203559s
2.393522371s,222,2.617238163s,9.83995908s,6.520493937s,661.1081503487198s
2.278669479s,223,2.474509504s,9.410958005s,5.635309293s,622.7757426920631s
2.654551446s,224,2.966073614s,9.413137111s,6.312552312s,504.6787565698105s
2.961513556s,225,2.49768083s,8.392778845s,6.22424425s,531.1492126782649s
2.673341055s,226,3.139181544s,9.601685203s,6.025461686s,678.2747343401907s
2.653932828s,227,2.432103752s,8.042515723s,5.811180874s,533.3160869856155s
2.857874034s,228,2.927236811s,10.059609872s,6.371089728s,502.4198013792382s
2.950348585s,229,2.767671768s,8.299070559s,6.884376454s,652.4531052407349s
2.898026918s,230,2.943834792s,9.250045283s,6.240832541s,510.7286746675485s
3.241289142s,231,2.767567718s,8.289301406s,5.78402264s,524.7376150074202s
2.729400716s,232,2.317971566s,9.651889133s,5.97144579s,588.4244305810229s
2.625442283s,233,2.818179572s,9.827336927s,6.530552458s,509.10581430436696s
2.640411902s,234,2.971092611s,8.880977415s,5.851006183s,628.6096255677619s
2.182162677s,235,2.860581539s,8.665042558s,5.692367667s,518.4775207377664s
2.610877877s,236,2.758778673s,9.142712502s,6.528344524s,661.8769940060146s
2.498403736s,237,2.604492352s,9.279727675s,7.24289829s,551.9917162592719s
2.716495619s,238,2.370927574s,9.411869084s,6.530553449s,548.2332846524523s
2.589684302s,239,2.332041621s,9.23418745s,6.108881678s,517.3909773333659s
2.48125917s,240,2.274466479s,9.432712589s,6.496330246s,515.2679616766162s
2.26670482s,241,2.808891081s,8.438867678s,6.650987557s,670.2185289464862s
2.595227235s,242,2.692421421s,9.603564086s,5.949529593s,500.40517493125276s
2.999228965s,243,2.679125973s,9.579741336s,5.774562699s,523.6322129423785s
2.976749961s,244,2.949178718s,9.03945089s,6.146859792s,503.1405458962569s
2.261103802s,245,2.776679949s,8.248001361s,6.221624699s,678.0631577433878s
2.344533619s,246,2.361098068s,9.186498612s,6.57524784s,550.7921197890954s
2.707967731s,247,2.56417383s,8.61212423s,6.03275136s,587.2530699031093s
2.39369527s,248,2.379662249s,8.173386341s,6.550053551s,675.6030345188121s
2.544817511s,249,2.799873088s,9.285536686s,6.234906914s,647.0084841038978s
2.904936001s,250,3.272862599s,9.1230207s,6.001638104s,521.5085533397603s
2.661462403s,251,2.799543134s,7.382335714s,6.256633574s,529.1145093236586s
2.777658274s,252,2.877645297s,9.027415623s,6.369645086s,632.7644500184792s
2.789667358s,253,2.795111464s,9.57476489s,6.259974161s,556.2009189707829s
2.969106765s,254,2.519280946s,9.421714744s,6.378558861s,621.698886936319s
2.280918182s,255,2.389708086s,9.31832247s,5.430105001s,547.0722259935783s
2.627256936s,256,2.65781553s,8.70410082s,5.275609636s,545.9371590425048s
3.03307927s,257,2.710363974s,9.562731345s,6.011501798s,541.3428002453135s
2.872651891s,258,2.797271109s,9.664587614s,5.989559409s,598.8198219616363s
2.306166049s,259,2.314110452s,8.705223568s,6.68512707s,629.9787123954109s
2.606074039s,260,2.929252318s,8.984078892s,6.720209824s,655.9372991101116s
2.194080284s,261,2.74295286s,7.94527396s,7.087207875s,654.4564673231553s
2.426679019s,262,2.660135708s,9.817053573s,6.166891203s,572.6205573856776s
2.816169402s,263,3.073261984s,8.539338695s,5.940240499s,610.1446477756161s
3.116791861s,264,2.338512431s,8.309262875s,6.276237051s,578.4113705086264s
3.105990117s,265,2.467984863s,8.722381634s,7.007097403s,606.5275743587752s
2.375407469s,266,2.77161488s,9.363142251s,6.653477149s,646.7357708941232s
2.547160813s,267,2.388070413s,9.603171229s,5.91697798s,537.1417408479182s
2.870336702s,268,2.357202507s,8.236383773s,7.02569117s,531.1171280090904s
2.608330392s,269,2.894510896s,8.836895553s,6.425645388s,514.538175601829s
3.011398508s,270,2.64480244s,8.937469128s,5.714534047s,512.0328650207838s
2.965126438s,271,2.285032566s,8.652201224s,6.333908324s,545.6852375560604s
2.755878082s,272,2.673513239s,8.575206219s,6.679541293s,561.8379225200949s
2.505403609s,273,2.990894761s,8.802778919s,7.054217423s,603.5535966449918s
2.176310681s,274,2.326062296s,9.448290095s,6.839631213s,620.886173173251s
2.51533908s,275,2.421719945s,8.203180457s,6.451870331s,591.8177138512858s
2.83825527s,276,2.674700574s,9.711432523s,6.189286858s,658.5662193747598s
2.702415363s,277,3.166030433s,8.631045888s,5.940463146s,588.855966324793s
2.638249343s,278,2.586093173s,10.17397755s,6.668458401s,665.4681095642668s
2.890753063s,279,2.70290244s,8.833533437s,5.75811306s,598.2146765611774s
2.360549009s,280,2.603780551s,9.281435278s,6.153977801s,554.1603727603409s
2.464362472s,281,2.839899249s,8.568594552s,6.290433593s,546.799082209677s
2.50442002s,282,2.754300946s,8.73596226s,6.154026574s,573.5882128840211s
2.626512708s,283,2.688836399s,9.247267169s,6.754668576s,674.8140596841536s
2.475656857s,284,2.785051626s,9.425721582s,5.608644153s,627.4118338832911s
2.434169378s,285,2.811420543s,9.064316937s,6.359926044s,561.1067699080834s
2.761987709s,286,2.69989579s,8.406214053s,6.346703573s,521.9379283733945s
3.196785159s,287,2.758698664s,8.018522851s,6.620204598s,613.6616444143249s
2.17712275s,288,2.761965637s,9.053190233s,5.429256008s,517.5433477004722s
2.700193394s,289,2.225928037s,9.443490737s,6.529258742s,570.572716266782s
3.091546903s,290,2.497692096s,8.929039485s,5.783303494s,668.8577903727013s
2.322335345s,291,2.762974874s,9.711668143s,5.95428341s,610.1326189117672s
2.923971866s,292,2.481993303s,9.259333358s,6.557675412s,667.7199433582939s
2.47560752s,293,2.740010314s,8.383665622s,6.951554501s,638.788019380979s
2.932051643s,294,2.672812898s,8.065923754s,6.291471396s,619.050890324532s
2.355489351s,295,2.397652454s,9.723953307s,6.117157708s,666.991024649026s
2.667165932s,296,2.485178781s,9.399973328s,6.837136169s,630.4696366992243s
2.495569972s,297,2.747509152s,9.872393135s,6.333243691s,638.7243142265343s
2.590410586s,298,2.302749344s,10.068598567s,6.799698133s,543.089846401913s
2.498348547s,299,2.625654828s,8.75711623s,6.178422695s,664.2753621946247s
2.549991826s,300,2.430102505s,9.278017873s,6.130544378s,602.5117656612265s
2.346182286s,301,2.629319548s,9.974189779s,6.523461255s,564.7170446973118s
2.718973556s,302,2.576813237s,8.119021143s,6.584351102s,580.5387560936965s
2.184799033s,303,2.587813213s,9.839962429s,6.115729199s,657.1996663126199s
2.549981527s,304,2.69195069s,9.282814473s,6.554494944s,608.7557016479092s
2.528869459s,305,3.060051398s,8.819497557s,6.683874786s,513.4794828775471s
2.653522033s,306,2.478457722s,10.202356658s,6.243921812s,566.2513220943385s
2.429800189s,307,2.457504546s,8.937751579s,6.428946678s,612.3344178197415s
2.677317638s,308,2.818186208s,9.253822039s,6.92022796s,634.1502079316617s
2.57086974s,309,3.100091793s,9.124331604s,6.251634056s,671.7023224283425s
2.834566622s,310,3.234869419s,8.842532625s,6.371859388s,644.8795133645281s
2.465128811s,311,3.046744398s,9.032475319s,6.303506069s,632.3939779654424s
3.27192815s,312,2.610991681s,8.667201764s,6.597396233s,557.6817227805769s
2.923465777s,313,2.883693557s,8.455774358s,5.854363355s,639.6503979938342s
2.780687285s,314,2.578875124s,7.932102485s,6.645988461s,539.2324755746134s
2.653964912s,315,2.597974363s,9.132005264s,6.590734569s,504.10272605751675s
2.645124839s,316,2.457223212s,9.217785474s,6.79987699s,588.6646909434091s
2.378846977s,317,2.595660621s,8.612272135s,6.357688149s,604.942047936896s
3.274974314s,318,2.879169977s,8.008810258s,6.67720306s,607.1903106493698s
2.857314255s,319,2.75613918s,8.030063893s,6.178147976s,675.2174385609944s
2.343636313s,320,2.565540344s,9.193005194s,6.61062662s,513.6123542447552s
2.514491098s,321,2.935138299s,9.568637385s,5.958340277s,547.0810460253298s
2.214423457s,322,2.704373349s,9.017029359s,5.940886332s,600.176912676562s
2.800502523s,323,2.782837578s,9.286640959s,6.924291282s,566.3234186047407s
2.632106294s,324,2.592707568s,7.993519979s,5.892569003s,554.1016506072469s
2.836075407s,325,2.720947568s,9.558669248s,5.620529588s,650.8916540277567s
3.308287109s,326,2.568157928s,9.425518778s,6.646538836s,609.5449367195347s
2.669385308s,327,2.589422936s,9.592942591s,6.126708818s,609.9304565665453s
2.286679966s,328,2.817330281s,8.976209387s,6.12450421s,594.6165995935744s
2.535365454s,329,3.209658564s,10.56649129s,5.808814581s,587.2753402886407s
2.119669548s,330,2.538212797s,9.932944479s,6.50339181s,541.8768969750337s
2.721330135s,331,3.159965454s,9.856908289s,7.085717184s,658.4616987244169s
2.453042785s,332,2.593039296s,10.686678952s,6.319479839s,524.1274270559672s
2.631777997s,333,2.42341405s,9.005208148s,5.883763233s,678.718116908186s
2.406877492s,334,2.467933755s,8.468250283s,6.594771842s,505.80912392845653s
2.448548193s,335,2.705460797s,9.628040728s,5.818402142s,592.3494609558534s
2.29445325s,336,2.750599563s,8.590035796s,6.534272927s,583.5587116754104s
2.567600771s,337,3.095031314s,8.543092914s,5.964660033s,507.46300723032067s
2.782784959s,338,2.666787857s,8.826658726s,6.227146964s,561.0395900076306s
2.229173498s,339,2.567730846s,8.125863054s,6.589251174s,650.8668651952627s
2.455294689s,340,2.463558712s,9.219802294s,6.45586398s,572.6675058089695s
2.793693855s,341,2.944181378s,9.566681702s,6.10233241s,616.932655833046s
2.800729718s,342,2.761986462s,9.567823642s,6.412404867s,536.9652660769747s
2.555052628s,343,3.024458479s,9.116871913s,6.255328252s,604.585934309977s
2.694031138s,344,3.243259743s,9.283149529s,6.48211902s,512.6267600737617s
2.577634333s,345,2.914457955s,8.517669709s,5.529795355s,556.5732865789772s
2.707138665s,346,2.813811719s,8.233817413s,6.718247434s,612.0482710243671s
2.79163612s,347,2.699967009s,8.717781881s,5.555120484s,571.485920377469s
3.061466802s,348,2.300308165s,8.285884523s,5.590402161s,515.3061954438144s
2.653797742s,349,2.793460154s,8.956167086s,6.560937713s,566.7032064764043s
2.460622207s,350,2.671094809s,8.600735925s,6.051084995s,516.7852792061485s
2.429466788s,351,2.525859029s,9.493590969s,5.983865071s,611.3305248866106s
2.55793406s,352,2.781823805s,8.434119214s,6.800692493s,577.8783514090098s
2.547478679s,353,2.542579474s,8.824795206s,6.379121096s,593.3474063925537s
2.453919523s,354,3.029086063s,8.624748351s,6.400854725s,557.0714363537945s
3.275734086s,355,2.873830497s,8.766211002s,6.550603208s,629.7269419641267s
2.191034505s,356,2.846210567s,9.297155713s,6.258017627s,586.3220011959083s
2.870503786s,357,3.010045416s,8.81587773s,6.561460678s,647.3577663956037s
2.852233343s,358,2.450400076s,7.905204667s,6.007853584s,628.2273767021056s
